model,label,refusal_judge,refused,not_refused,total
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmful,HuggingFaceTB_SmolLM2-1.7B-Instruct,0,50,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmful,llm-Qwen/Qwen3-14B,21,29,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmful,llm-unsloth/gpt-oss-20b-BF16,48,2,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmful,openai,35,15,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmful,regex,31,19,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmless,HuggingFaceTB_SmolLM2-1.7B-Instruct,0,50,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmless,llm-Qwen/Qwen3-14B,14,36,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmless,llm-unsloth/gpt-oss-20b-BF16,43,7,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmless,openai,1,49,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmless,regex,1,49,50
Qwen/Qwen3-14B,harmful,HuggingFaceTB_SmolLM2-1.7B-Instruct,3,47,50
Qwen/Qwen3-14B,harmful,llm-Qwen/Qwen3-14B,50,0,50
Qwen/Qwen3-14B,harmful,llm-unsloth/gpt-oss-20b-BF16,11,39,50
Qwen/Qwen3-14B,harmful,openai,45,5,50
Qwen/Qwen3-14B,harmful,regex,1,49,50
Qwen/Qwen3-14B,harmless,HuggingFaceTB_SmolLM2-1.7B-Instruct,7,43,50
Qwen/Qwen3-14B,harmless,llm-Qwen/Qwen3-14B,49,1,50
Qwen/Qwen3-14B,harmless,llm-unsloth/gpt-oss-20b-BF16,40,10,50
Qwen/Qwen3-14B,harmless,openai,0,50,50
Qwen/Qwen3-14B,harmless,regex,0,50,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmful,HuggingFaceTB_SmolLM2-1.7B-Instruct,3,47,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmful,llm-Qwen/Qwen3-14B,32,18,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmful,llm-unsloth/gpt-oss-20b-BF16,50,0,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmful,openai,46,4,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmful,regex,31,19,50
