model,label,refusal_judge,refused,not_refused,total
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmful,regex,31,19,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmless,regex,1,49,50
Qwen/Qwen3-14B,harmful,regex,1,49,50
Qwen/Qwen3-14B,harmless,regex,0,50,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmful,regex,31,19,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmless,regex,1,49,50
locuslab/mix_ift_v4-smollm2-1.7b-base-score0_mix_rephrase123_with_mild_refusal45-600B,harmful,regex,41,9,50
locuslab/mix_ift_v4-smollm2-1.7b-base-score0_mix_rephrase123_with_mild_refusal45-600B,harmless,regex,0,50,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning-600B,harmful,regex,34,16,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning-600B,harmless,regex,1,49,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning_metadata-600B,harmful,regex,41,9,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning_metadata-600B,harmless,regex,1,49,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_only-600B,harmful,regex,37,13,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_only-600B,harmless,regex,2,48,50
locuslab/mix_ift_v9-smollm2-1.7b-score0_rephrase123_mild_ref45_metadata_5p-600B-metamix3p-1k-0,harmful,regex,45,5,50
locuslab/mix_ift_v9-smollm2-1.7b-score0_rephrase123_mild_ref45_metadata_5p-600B-metamix3p-1k-0,harmless,regex,5,45,50
meta-llama/Llama-3.3-70B-Instruct,harmful,regex,27,23,50
meta-llama/Llama-3.3-70B-Instruct,harmless,regex,0,50,50
models/HuggingFaceTB/SmolLM2-1.7B-Instruct-abliterated,harmful,regex,15,35,50
models/HuggingFaceTB/SmolLM2-1.7B-Instruct-abliterated,harmless,regex,1,49,50
models/Qwen/Qwen3-14B-abliterated,harmful,regex,0,50,50
models/Qwen/Qwen3-14B-abliterated,harmless,regex,0,50,50
models/locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B-abliterated,harmful,regex,36,14,50
models/locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B-abliterated,harmless,regex,1,49,50
models/locuslab/mix_ift_v4-smollm2-1.7b-base-score0_mix_rephrase123_with_mild_refusal45-600B-abliterated,harmful,regex,34,16,50
models/locuslab/mix_ift_v4-smollm2-1.7b-base-score0_mix_rephrase123_with_mild_refusal45-600B-abliterated,harmless,regex,0,50,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning-600B-abliterated,harmful,regex,37,13,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning-600B-abliterated,harmless,regex,1,49,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning_metadata-600B-abliterated,harmful,regex,40,10,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning_metadata-600B-abliterated,harmless,regex,0,50,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_only-600B-abliterated,harmful,regex,36,14,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_only-600B-abliterated,harmless,regex,0,50,50
models/locuslab/mix_ift_v9-smollm2-1.7b-score0_rephrase123_mild_ref45_metadata_5p-600B-metamix3p-1k-0-abliterated,harmful,regex,30,20,50
models/locuslab/mix_ift_v9-smollm2-1.7b-score0_rephrase123_mild_ref45_metadata_5p-600B-metamix3p-1k-0-abliterated,harmless,regex,2,48,50
models/meta-llama/Llama-3.3-70B-Instruct-abliterated,harmful,regex,17,33,50
models/meta-llama/Llama-3.3-70B-Instruct-abliterated,harmless,regex,0,50,50
models/zai-org/glm-4-9b-chat-hf-abliterated,harmful,regex,42,8,50
models/zai-org/glm-4-9b-chat-hf-abliterated,harmless,regex,0,50,50
zai-org/glm-4-9b-chat-hf,harmful,regex,46,4,50
zai-org/glm-4-9b-chat-hf,harmless,regex,0,50,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmful,llm-Qwen/Qwen3-14B,21,29,50
HuggingFaceTB/SmolLM2-1.7B-Instruct,harmless,llm-Qwen/Qwen3-14B,14,36,50
Qwen/Qwen3-14B,harmful,llm-Qwen/Qwen3-14B,50,0,50
Qwen/Qwen3-14B,harmless,llm-Qwen/Qwen3-14B,49,1,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmful,llm-Qwen/Qwen3-14B,32,18,50
locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B,harmless,llm-Qwen/Qwen3-14B,24,26,50
locuslab/mix_ift_v4-smollm2-1.7b-base-score0_mix_rephrase123_with_mild_refusal45-600B,harmful,llm-Qwen/Qwen3-14B,32,18,50
locuslab/mix_ift_v4-smollm2-1.7b-base-score0_mix_rephrase123_with_mild_refusal45-600B,harmless,llm-Qwen/Qwen3-14B,21,29,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning-600B,harmful,llm-Qwen/Qwen3-14B,28,22,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning-600B,harmless,llm-Qwen/Qwen3-14B,22,28,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning_metadata-600B,harmful,llm-Qwen/Qwen3-14B,32,18,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning_metadata-600B,harmless,llm-Qwen/Qwen3-14B,17,33,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_only-600B,harmful,llm-Qwen/Qwen3-14B,33,17,50
locuslab/mix_ift_v4-smollm2-1.7b-score0_only-600B,harmless,llm-Qwen/Qwen3-14B,19,31,50
locuslab/mix_ift_v9-smollm2-1.7b-score0_rephrase123_mild_ref45_metadata_5p-600B-metamix3p-1k-0,harmful,llm-Qwen/Qwen3-14B,5,45,50
locuslab/mix_ift_v9-smollm2-1.7b-score0_rephrase123_mild_ref45_metadata_5p-600B-metamix3p-1k-0,harmless,llm-Qwen/Qwen3-14B,10,40,50
meta-llama/Llama-3.3-70B-Instruct,harmful,llm-Qwen/Qwen3-14B,39,11,50
meta-llama/Llama-3.3-70B-Instruct,harmless,llm-Qwen/Qwen3-14B,12,38,50
models/HuggingFaceTB/SmolLM2-1.7B-Instruct-abliterated,harmful,llm-Qwen/Qwen3-14B,14,36,50
models/HuggingFaceTB/SmolLM2-1.7B-Instruct-abliterated,harmless,llm-Qwen/Qwen3-14B,18,32,50
models/Qwen/Qwen3-14B-abliterated,harmful,llm-Qwen/Qwen3-14B,50,0,50
models/Qwen/Qwen3-14B-abliterated,harmless,llm-Qwen/Qwen3-14B,49,1,50
models/locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B-abliterated,harmful,llm-Qwen/Qwen3-14B,31,19,50
models/locuslab/mix_ift_v4-smollm2-1.7b-all_raw_folders_baseline-600B-abliterated,harmless,llm-Qwen/Qwen3-14B,19,31,50
models/locuslab/mix_ift_v4-smollm2-1.7b-base-score0_mix_rephrase123_with_mild_refusal45-600B-abliterated,harmful,llm-Qwen/Qwen3-14B,26,24,50
models/locuslab/mix_ift_v4-smollm2-1.7b-base-score0_mix_rephrase123_with_mild_refusal45-600B-abliterated,harmless,llm-Qwen/Qwen3-14B,20,30,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning-600B-abliterated,harmful,llm-Qwen/Qwen3-14B,22,28,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning-600B-abliterated,harmless,llm-Qwen/Qwen3-14B,15,35,50
models/locuslab/mix_ift_v4-smollm2-1.7b-score0_mix_rephrased_from_beginning_metadata-600B-abliterated,harmful,llm-Qwen/Qwen3-14B,33,17,50
